trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
4753584,16:25:00,16:25:00,1,26,1
4753585,17:00:00,17:00:00,1493,0,1
4753585,,,1349,1,0
4753585,,,1548,2,0
4753585,,,1491,3,0
4753585,,,1306,4,0
4753585,,,1592,5,0
4753585,,,34,6,0
4753585,,,35,7,0
4753585,,,36,8,0
4753585,,,37,9,0
4753585,,,38,10,0
4753585,,,39,11,0
4753585,,,40,12,0
4753585,,,1199,13,0
4753585,,,118,14,0
4753585,,,360,15,0
4753585,,,361,16,0
4753585,,,362,17,0
4753585,,,1159,18,0
4753585,,,52,19,0
4753585,,,53,20,0
4753585,,,55,21,0
4753585,,,56,22,0
4753585,,,1290,23,0
4753585,,,57,24,0
4753585,,,1216,25,0
4753585,17:25:00,17:25:00,1,26,1
5001001,06:10:00,06:10:00,1493,0,1
5001001,,,1349,1,0
5001001,,,1548,2,0
5001001,,,1491,3,0
5001001,,,1306,4,0
5001001,,,1592,5,0
5001001,,,34,6,0
5001001,,,35,7,0
5001001,,,36,8,0
5001001,,,37,9,0
5001001,,,38,10,0
5001001,,,39,11,0
5001001,,,40,12,0
5001001,,,1199,13,0
5001001,,,118,14,0
5001001,,,360,15,0
5001001,,,361,16,0
5001001,,,362,17,0
5001001,,,1159,18,0
5001001,,,52,19,0
5001001,,,53,20,0
5001001,,,55,21,0
5001001,,,56,22,0
5001001,,,1290,23,0
5001001,,,57,24,0
5001001,,,1216,25,0
5001001,06:36:00,06:36:00,1,26,1
5001003,06:30:00,06:30:00,1493,0,1
5001003,,,1349,1,0
5001003,,,1548,2,0
5001003,,,1491,3,0
5001003,,,1306,4,0
5001003,,,1592,5,0
5001003,,,34,6,0
5001003,,,35,7,0
5001003,,,36,8,0
5001003,,,37,9,0
5001003,,,38,10,0
5001003,,,39,11,0
5001003,,,40,12,0
5001003,,,1199,13,0
5001003,,,118,14,0
5001003,,,360,15,0
5001003,,,361,16,0
5001003,,,362,17,0
5001003,,,1159,18,0
5001003,,,52,19,0
5001003,,,53,20,0
5001003,,,55,21,0
5001003,,,56,22,0
5001003,,,1290,23,0
5001003,,,57,24,0
5001003,,,1216,25,0
5001003,06:56:00,06:56:00,1,26,1
5001005,06:50:00,06:50:00,1493,0,1
5001005,,,1349,1,0
5001005,,,1548,2,0
5001005,,,1491,3,0
5001005,,,1306,4,0
5001005,,,1592,5,0
5001005,,,34,6,0
5001005,,,35,7,0
5001005,,,36,8,0
5001005,,,37,9,0
5001005,,,38,10,0
5001005,,,39,11,0
5001005,,,40,12,0
5001005,,,1199,13,0
5001005,,,118,14,0
5001005,,,360,15,0
5001005,,,361,16,0
5001005,,,362,17,0
5001005,,,1159,18,0
5001005,,,52,19,0
5001005,,,53,20,0
5001005,,,55,21,0
5001005,,,56,22,0
5001005,,,1290,23,0
5001005,,,57,24,0
5001005,,,1216,25,0
5001005,07:16:00,07:16:00,1,26,1
5001007,07:10:00,07:10:00,1493,0,1
5001007,,,1349,1,0
5001007,,,1548,2,0
5001007,,,1491,3,0
5001007,,,1306,4,0
5001007,,,1592,5,0
5001007,,,34,6,0
5001007,,,35,7,0
5001007,,,36,8,0
5001007,,,37,9,0
5001007,,,38,10,0
5001007,,,39,11,0
5001007,,,40,12,0
5001007,,,1199,13,0
5001007,,,118,14,0
5001007,,,360,15,0
5001007,,,361,16,0
5001007,,,362,17,0
5001007,,,1159,18,0
5001007,,,52,19,0
5001007,,,53,20,0
5001007,,,55,21,0
5001007,,,56,22,0
5001007,,,1290,23,0
5001007,,,57,24,0
5001007,,,1216,25,0
5001007,07:36:00,07:36:00,1,26,1
5001009,07:27:00,07:27:00,1493,0,1
5001009,,,1349,1,0
5001009,,,1548,2,0
5001009,,,1491,3,0
5001009,,,1306,4,0
5001009,,,1592,5,0
5001009,,,34,6,0
5001009,,,35,7,0
5001009,,,36,8,0
5001009,,,37,9,0
5001009,,,38,10,0
5001009,,,39,11,0
5001009,,,40,12,0
5001009,,,1199,13,0
5001009,,,118,14,0
5001009,,,360,15,0
5001009,,,361,16,0
5001009,,,362,17,0
5001009,,,1159,18,0
5001009,,,52,19,0
5001009,,,53,20,0
5001009,,,55,21,0
5001009,,,56,22,0
5001009,,,1290,23,0
5001009,,,57,24,0
5001009,,,1216,25,0
5001009,07:53:00,07:53:00,1,26,1
5001011,07:47:00,07:47:00,1493,0,1
5001011,,,1349,1,0
5001011,,,1548,2,0
5001011,,,1491,3,0
5001011,,,1306,4,0
5001011,,,1592,5,0
5001011,,,34,6,0
5001011,,,35,7,0
5001011,,,36,8,0
5001011,,,37,9,0
5001011,,,38,10,0
5001011,,,39,11,0
5001011,,,40,12,0
5001011,,,1199,13,0
5001011,,,118,14,0
5001011,,,360,15,0
5001011,,,361,16,0
5001011,,,362,17,0
5001011,,,1159,18,0
5001011,,,52,19,0
5001011,,,53,20,0
5001011,,,55,21,0
5001011,,,56,22,0
5001011,,,1290,23,0
5001011,,,57,24,0
5001011,,,1216,25,0
5001011,08:13:00,08:13:00,1,26,1
5001013,08:07:00,08:07:00,1493,0,1
5001013,,,1349,1,0
5001013,,,1548,2,0
5001013,,,1491,3,0
5001013,,,1306,4,0
5001013,,,1592,5,0
5001013,,,34,6,0
5001013,,,35,7,0
5001013,,,36,8,0
5001013,,,37,9,0
5001013,,,38,10,0
5001013,,,39,11,0
5001013,,,40,12,0
5001013,,,1199,13,0
5001013,,,118,14,0
5001013,,,360,15,0
5001013,,,361,16,0
5001013,,,362,17,0
5001013,,,1159,18,0
5001013,,,52,19,0
5001013,,,53,20,0
5001013,,,55,21,0
5001013,,,56,22,0
5001013,,,1290,23,0
5001013,,,57,24,0
5001013,,,1216,25,0
5001013,08:33:00,08:33:00,1,26,1
5001015,08:35:00,08:35:00,1493,0,1
5001015,,,1349,1,0
5001015,,,1548,2,0
5001015,,,1491,3,0
5001015,,,1306,4,0
5001015,,,1592,5,0
5001015,,,34,6,0
5001015,,,35,7,0
5001015,,,36,8,0
5001015,,,37,9,0
5001015,,,38,10,0
5001015,,,39,11,0
5001015,,,40,12,0
5001015,,,1199,13,0
5001015,,,118,14,0
5001015,,,360,15,0
5001015,,,361,16,0
5001015,,,362,17,0
5001015,,,1159,18,0
5001015,,,52,19,0
5001015,,,53,20,0
5001015,,,55,21,0
5001015,,,56,22,0
5001015,,,1290,23,0
5001015,,,57,24,0
5001015,,,1216,25,0
5001015,09:02:00,09:02:00,1,26,1
5001017,08:52:00,08:52:00,1493,0,1
5001017,,,1349,1,0
5001017,,,1548,2,0
5001017,,,1491,3,0
5001017,,,1306,4,0
5001017,,,1592,5,0
5001017,,,34,6,0
5001017,,,35,7,0
5001017,,,36,8,0
5001017,,,37,9,0
5001017,,,38,10,0
5001017,,,39,11,0
5001017,,,40,12,0
5001017,,,1199,13,0
5001017,,,118,14,0
5001017,,,360,15,0
5001017,,,361,16,0
5001017,,,362,17,0
5001017,,,1159,18,0
5001017,,,52,19,0
5001017,,,53,20,0
5001017,,,55,21,0
5001017,,,56,22,0
5001017,,,1290,23,0
5001017,,,57,24,0
5001017,,,1216,25,0
