"stop_name","stop_desc"
"CVS @ NW 13th Street","Northbound NW 13th ST @ Nearside NW 16th AVE"
"Gainesville High School","Northbound NW 13th ST @ Farside NW 18th AVE"
"Gainesville High School","Northbound NW 13th ST @ Nearside NW 19th LN"
"Lux 13 Apartments","Northbound NW 13th ST @ Farside NW 21st AVE"
"Furniture Kingdom","Westbound NW 23rd AVE @ Farside NW 13th ST"
"UF Health Homecare","Westbound NW 23rd AVE @ Nearside NW 16th TER"
"Brook Wood Terrace Neighborhood","Westbound NW 23rd AVE @ Farside NW 16th TER"
"Cobblestone Apartments","Westbound NW 23rd AVE @ Nearside NW 28th CIR"
"Misty Oaks Apartments","Northbound NW 21st ST @ Farside NW 31st ST"
"Northbound NW 21st Avenue @ NW 33rd Avenue","Northbound NW 21st ST @ Nearside NW 33rd AVE"
"Kiwanis Park","Northbound NW 21st ST @ Nearside NW 36th AVE"
"Altrusa House of Gainesville","Eastbound NW 36th AVE @ Nearside NE 20th ST"
"Ridgeview Baptist Church","Eastbound NW 36th AVE @ Nearside NW 19th ST"
"Westbound NW 39th AVE @ NW 19th TER","Westbound NW 39th AVE @ Nearside NW 19th TER"
"Girls Place of Alachua County","Westbound NW 39th AVE @ Nearside NW 21st ST"
"Equilease Square","Westbound NW 39th AVE @ Nearside NW 22nd DR"
"Forest of the Unicorn Neighborhood","Westbound NW 39th AVE @ Nearside NW 24th BLVD"
"Walnut Creek Neighborhood","Westbound NW 39th AVE @ Farside NW 25th TER"
"Assembly of Gods Church","Westbound NW 39th AVE @ Farside NW 29th TER"
"Westbound NW 39th Avenue @ NW 31st Street","Westbound NW 39th AVE @ Nearside NW 31st TER"
"NW 39th Avenue @ NW 34th Street","Westbound NW 39th AVE @ Nearside NW 34th ST"
"Gethsemane Lutheran Church","Northbound NW 34th ST @ Nearside NW 41st AVE"
"Capri Neighborhood","Northbound NW 34th ST @ Nearside NW 45th AVE"
"Family Dollar @ NW 34th Street","Northbound NW 34th ST @ Farside NW 51st PL"
"YMCA @ NW 34th Street","Northbound NW 34th ST @ Farside NW 30th TER"
"Barnhill Clinic","Northbound NW 34th ST @ Nearside NW 29th ST"
"Pine Ridge Apartments","Northbound NW 23rd TER @ Nearside NW 57th PL"
"Pine Ridge Apartments","Northbound NW 23rd TER @ Nearside NW 25th TER"
"Northbound NW 23rd Terrace @ NW 62nd Avenue","Northbound NW 23rd TER @ Nearside NW 62nd AVE"
"Hampton Court Apartments","Northbound NW 23rd TER @ Nearside NW 65th PL"
"Northbound NW 23rd Terrace @ US Hwy 441","Northbound NW 23rd TER @ Nearside NW 13th ST"
"Hunters Run","Northbound SW 25th TER @ Farside Williston RD"
"Westbound SW 40th Place @ NW 26th Terrace","Westbound SW 40th PL @ Nearside SW 26th TER"
"Campus Lodge Apartments","Westbound SW 40th TER @ Nearside SW 38th PL"
"Lexington Crossing Apartments","Northbound SW 27th ST @ Nearside SW 38th PL"
"Lexington Crossing Apartments","Northbound SW 27th ST @ Farside SW 38th PL"
"Windsor Park Apartments","Northbound SW 27th ST @ Nearside SW 35th PL"
"Northbound SW 27th Street @ SW 35th Place","Northbound SW 27th ST @ Nearside SW 35th PL"
"Casablanca East Apartments","Eastbound SW 35th PL @ Farside SW 27th TER"
"Arbor Park Apartments","Eastbound SW 35th PL @ Nearside SW 27th TER"
"Hickory Place Apartments","Eastbound SW 35th PL @ Nearside SW 23rd TER"
"SW 23rd Terrace @ SW 35th Place","Northbound SW 23rd TER @ Farside SW 32nd PL"
"Towne Parc Apartments","Northbound SW 23rd TER @ Farside SW 31st PL"
"University Club Apartments","Northbound SW 23rd TER @ Farside SW 28th PL"
"University of Florida Energy Research","Northbound SW 23rd TER @ Nearside SW Archer RD"
"University Commons","Northbound SW 23rd TER @ Nearside Archer RD"
"Mt Vernon Apartments @ SW 23rd Drive","Northbound SW 23rd DR @ Farside Archer RD"
"Campus Edge Condominiums","Northbound SW 23rd DR @ Nearside Hull RD"
"Forestry Field Lab/Plant Growth","Eastbound Mowry RD @ Farside Hull RD"
"Cancer/Genetics Research Complex","Eastbound Mowry Rd @ Farside SW 23 Dr"
"Cancer and Genetics Research","Eastbound Mowry RD @ Nearside Gale Lemerand DR"
"Parking & Transportation Services","Northbound Gale Lemerand DR @ Farside Mowry RD"
"Commuter Lot Parking Garage @ Gale Lemerand","Northbound Gale Lemerand DR @ Farside Mowry RD"
"Graham Hall","Northbound Gale Lemerand DR @ Farside Museum RD"
"Gator Corner Dining Facility @ Gale Lemerand","Northbound Gale Lemerand DR @ Nearside Stadium RD"
"Weimer Hall","Eastbound Stadium RD @ Farside Gale Lemerand DR"
"The HUB","Eastbound Stadium RD @ Nearside Buckman DR"
"Turlington Hall","Southbound Newell DR @ Farside Union RD"
"Rawlings Hall","Southbound Newell DR @ Nearside McCarty DR"
"Reitz Union","Southbound McCarty DR @ Nearside Museum RD"
"UF Health","Southbound Center DR @ Nearside Mowry RD"
"Shands Visitor Parking","Westbound Mowry RD @ Farside Center DR"
"Wilmot Gardens","Westbound Mowry RD @ Nearside Gale Lemerand DR"
"Cancer & Genetics Research Center","Westbound Mowry RD @ Farside Gale Lemerand DR"
"Lake Alice Conservation Area","Westbound Mowry Rd @ Nearside SW 23 Dr"
"IFAS Lab","Westbound Mowry RD @ Farside Hull RD"
"Campus Edge Condominiums","Southbound SW 23rd DR @ Farside Hull RD"
"Mt Vernon Apartments","Southbound SW 23rd DR @ Nearside Archer RD"
"University Commons","Southbound SW 23rd TER @ Farside Archer RD"
"University of Florida Energy Research","Southbound SW 23rd TER @ Farside Archer RD"
"University Club Apartments","Southbound SW 23rd TER @ Nearside SW 31 PL"
"Towne Parc Apartments","Southbound SW 23rd TER @ Nearside SW 31 PL"
"Southwood Apartments","Southbound SW 23rd TER @ Farside SW 34 PL"
"Gator Place Condominiums","Southbound SW 23rd TER @ Farside SW 35th PL"
"Countryside at the University Apartments","Southbound SW 23rd TER @ Nearside Williston RD"
"Southbound SW 23rd Street @ Williston Road","Southbound SW 23rd ST @ Nearside Williston RD"
"The Polos Apartments","Westbound Williston RD @ Farside SW 23rd ST"
"NW 16th Ave NW 13th St","Westbound NW 16th AVE @ Farside NW 13th ST"
"Gainesville High School Tennis Courts","Westbound NW 16th AVE @ Nearside NW 16th TER"
"Westbound NW 16th Avenue @ NW 18th Street","Westbound NW 16th AVE @ Farside NW 18th ST"
"Westbound NW 16th Avenue @ NW 20th Way","Westbound NW 16th AVE @ Nearside NW 20th WAY"
"Forest Ridge Neighborhood","Westbound NW 16th AVE @ Nearside NW 22nd ST"
"NW 24th St @ NW 16th Avenue","Westbound NW 16th AVE @ Nearside NW 24th ST"
"NW 27th Terrace @ NW 16th Avenue","Westbound NW 16th AVE @ Nearside NW 27th TER"
"NW 30th Terrace @ NW 16th Avenue","Westbound NW 16th AVE @ Farside NW 30th TER"
"Zion Evangelical Lutheran Church","Westbound NW 16th BLVD @ Farside NW 34th ST"
"Willowcroft Neighborhood","Westbound NW 16th BLVD @ Farside NW 34th ST"
"NW 16th Boulevard @ NW 37th Boulevard","Westbound NW 16th BLVD @ Farside NW 37th BLVD"
"B'Nai Israel School & Day Care","Westbound NW 16th BLVD @ Farside NW 38th TER"
"Westbound NW 16th Boulevard @ NW 39th Street","Westbound NW 16th BLVD @ Nearside NW 39th ST"
"Capital City Bank @ NW 16th Boulevard","Westbound NW 16th BLVD @ Nearside NW 41st ST"
"NW 23rd Ave NW 43rd St","Westbound NW 16th BLVD @ Nearside NW 43rd ST"
"Floral Expressions","Westbound NW 23rd AVE @ Farside NW 43rd ST"
"Westbound NW 23rd Avenue @ NW 46th Terrace","Westbound NW 23rd AVE @ Nearside NW 46th TER"
"First Church of the Nazarene","Westbound NW 23rd AVE @ Nearside NW 51st ST"
"Northwest Baptist Church","Westbound NW 23rd AVE @ Nearside NW 55th ST"
"Westbound NW 23rd Avenue @ NW 63rd Terrace","Westbound NW 23rd AVE @ Farside NW 63rd TER"
"Hickory Woods Neighborhood","Westbound NW 23rd AVE @ Nearside NW 68th TER"
"Quail Ridge Neighborhood","Westbound NW 23rd AVE @ Nearside NW 71st ST"
"Shenandoah Neighborhood","Westbound NW 23rd AVE @ Nearside NW 77th TER"
"Santa Fe College @ NW 83rd Street","Northbound NW 83rd ST @ Farside NW 23rd AVE"
"Santa Fe","Westbound Santa Fe College @ Farside Santa Fe Col*"
"Santa Fe College","Eastbound NW South RD @ Nearside NW 83rd ST"
"The Pentecostals of Gainesville","Eastbound NW 23rd AVE @ Farside NW 83rd ST"
"Shenandoah Neighborhood","Eastbound NW 23rd AVE @ Farside NW 77th TER"
"Quail Ridge Neighborhood","Eastbound NW 23rd AVE @ Nearside NW 71st ST"
"Hickory Woods Neighborhood","Eastbound NW 23rd AVE @ Farside NW 68th TER"
"Eastbound NW 23rd Avenue @ NW 63rd Terrace","Eastbound NW 23rd AVE @ Nearside NW 63rd TER"
"Northwest Baptist Church","Eastbound NW 23rd AVE @ Nearside NW 55th ST"
"First Church of the Nazarene","Eastbound NW 23rd AVE @ Nearside NW 51st ST"
"Eastbound NW 23rd Avenue @ NW 46th Street","Eastbound NW 23rd AVE @ Nearside NW 46th ST"
"Floral Expressions","Eastbound NW 23rd AVE @ Nearside NW 43rd ST"
"NW 23rd Ave NW 43rd St","Eastbound NW 16th BLVD @ Nearside NW 43rd ST"
"Eastbound NW 16th Boulevard @ NW 39th Drive","Eastbound NW 16th BLVD @ Nearside NW 39th DR"
"B'Nai Israel School & Day Care","Eastbound NW 16th BLVD @ Nearside NW 38th TER"
"Willowcroft Neighborhood","Eastbound NW 16th BLVD @ Farside NW 35th WAY"
"Covenant Church","Eastbound NW 16th AVE @ Nearside NW 31st TER"
"Brywood Neighborhood","Eastbound NW 16th AVE @ Farside NW 27th TER"
"Raintree Neighborhood","Eastbound NW 16th AVE @ Nearside NW 23rd TER"
"Forest Ridge Neighborhood","Eastbound NW 16th AVE @ Nearside NW 22nd ST"
"Eastbound NW 16th Avenue @ NW 20th Way","Eastbound NW 16th AVE @ Nearside NW 20th WAY"
"Colony Park Apartments","Eastbound NW 16th AVE @ Nearside NW 18th ST"
"NW 16th Ave NW 13th St","Eastbound NW 16th AVE @ Nearside NW 13th ST"
"Eastwood Meadows","Northbound SE 44th ST @ Farside SE 10th PL"
"Lake Forest Trails Neighborhood","Northbound SE 43rd ST @ Farside SE 6th AVE"
"Lake Forest Elementary School","Northbound SE 43rd ST @ Nearside SE 4th AVE"
"Sunrise Store @ SE 43rd Street","Northbound SE 43rd ST @ Nearside E University AVE"
"Exxon Gas Station @ E University Avenue","Westbound E University AVE @ Farside SE 43rd ST"
"Eastside Plaza","Westbound E University AVE @ Farside SE 39th ST"
"Morningside Nature Center","Westbound E University AVE @ Nearside SE 38th ST"
"Fred Cone Park","Westbound E University AVE @ Nearside SE 27th ST"
"Pine Meadows Apartments","Westbound E University AVE @ Nearside NE 26th TER"
"Caroline Manor Affordable Housing","Westbound E University AVE @ Nearside NE 25th ST"
"Northbound NE 25th Street @ NE 3rd Place","Northbound NE 25th ST @ Nearside NE 3rd PL"
"Northbound NE 25th Street @ NE 6th Avenue","Northbound NE 25th ST @ Farside NE 6th AVE"
"Mt Carmel Baptist Church","Northbound NE 25th ST @ Nearside NE 8th AVE"
"Northbound NE 25th Street @ NE 11th Place","Northbound NE 25th ST @ Nearside NE 11th PL"
"Westbound NE 12th Avenue @ NE 24th Terrace","Westbound NE 12th AVE @ Nearside NE 24th TER"
"Southbound NE 24th Street @ NE 8th Avenue","Southbound NE 24th ST @ Nearside NE 8th AVE"
"Westbound NE 8th Avenue @ NE 23nd Street","Westbound NE 8th AVE @ Farside NE 23nd ST"
"Duval Elementary School","Westbound NE 8th AVE @ Nearside NE 21st ST"
"Westbound NE 13th Street @ NE 8th Avenue","Westbound NE 8th AVE @ Nearside NE 13th ST"
"Sunny Food Mart","Westbound NE 8th AVE @ Farside NE 12th ST"
"Southbound NE 9th Street @ NE 7th Avenue","Southbound NE 9th ST @ Nearside NE 7th AVE"
"Southbound NE 9th Street @ NE 5th Avenue","Southbound NE 9th ST @ Nearside NE 5th AVE"
"Southbound NE 9th Street @ NE 3rd Avenue","Southbound NE 9th ST @ Nearside NE 3rd AVE"
"Florida School of Traditional Midwifery","Westbound E University AVE @ Farside NE 8th ST"
"Alachua County School Board Administration","Westbound E University AVE @ Nearside NE BLVD"
"Downtown Library","Northbound SE 3rd ST @ Nearside E University AVE"
"Salvation Army Thrift Store","Eastbound E University AVE @ Nearside E 7th ST"
"Eastbound E University Avenue @ SE 8th Street","Eastbound E University AVE @ Nearside SE 8th ST"
"Northbound NE 9th Street @ E University Avenue","Northbound NE 9th ST @ Farside E University AVE"
"Northbound NE 9th Street @ NE 3rd Avenue","Northbound NE 9th ST @ Farside NE 3rd AVE"
"Northbound NE 9th Street @ NE 5th Avenue","Northbound NE 9th ST @ Nearside NE 5th AVE"
"Northbound NE 9th Street @ NE 8th Avenue","Northbound NE 9th ST @ Nearside NE 8th AVE"
"Eastbound NE 8th Avenue @ NE 11th Street","Eastbound NE 8th AVE @ Farside NE 11th ST"
"Sunny Food Mart","Eastbound NE 8th AVE @ Nearside NE 12th ST"
"Jones Edmunds","Eastbound NE 8th AVE @ Farside NE 13th ST"
"Duval Elementary School","Eastbound NE 8th AVE @ Farside NE 20th ST"
"Eastbound NE 8th Avenue @ NE 22nd Street","Eastbound NE 8th AVE @ Nearside NE 22nd ST"
"Northbound NE 24th Street @ NE 8th Avenue","Eastbound NE 8th AVE @ Nearside NE 24th ST"
"Northbound NE 24th Street @ NE 10th Avenue","Northbound NE 24th ST @ Nearside NE 10th AVE"
"Eastbound NE 12th Avenue @ NE 24th Terrace","Eastbound NE 12th AVE @ Farside NE 24th TER"
"Southbound NE 25th Street @ NE 11th Place","Southbound NE 25th ST @ Farside NE 11th PL"
"Southbound NE 25th Street @ NE 8th Avenue","Southbound NE 25th ST @ Nearside NE 8th AVE"
"Southbound NE 25th Street @ NE 6th Avenue","Southbound NE 25th ST @ Nearside NE 6th AVE"
"Southbound NE 25th Street @ NE 3rd Place","Southbound NE 25th ST @ Nearside NE 3rd PL"
"Eastbound SE 25th Terrace @ E University Avenue","Eastbound E University AVE @ Farside SE 25th TER"
"Pine Meadows Apartments","Eastbound E University AVE @ Farside SE 26th TER"
"Fred Cone Park","Eastbound E University AVE @ Farside SE 27th ST"
"Morningside Nature Center","Eastbound E University AVE @ Nearside SE SE 38th *"
"Eastside Plaza","Eastbound E University AVE @ Nearside SE 39th ST"
"Southbound SE 43rd Street @ E University Avenue","Southbound SE 43rd ST @ Farside E University AVE"
"Compassionate Outreach","Southbound SE 43rd ST @ Nearside SE 4th AVE"
"Lake Forest Trails Neighborhood","Southbound SE 43rd ST @ Nearside SE 6th AVE"
"Best Buy @ Butler Plaza","Southbound SW 37th BLVD @ Nearside Archer RD"
"Regions Bank @ SW 37th Boulevard","Southbound SW 37th BLVD @ Nearside SW 38th ST"
"Gateway at Gainesville Apartments","Southbound SW 37th BLVD @ Farside SW 38th ST"
"Greenwich Green Apartments","Eastbound SW 37th BLVD @ Nearside SW 34th ST"
"Aspen Ridge Apartments","Northbound SW 34th ST @ Farside SW 37th BLVD"
"Ridgemar Apartments","Northbound SW 34th ST @ Nearside SW 35th AVE"
"Kangaroo @ SW 34th Street","Northbound SW 34th ST @ Farside SW 35th AVE"
"University Town Center","Northbound SW 34th ST @ Nearside Archer RD"
"Shands Hospital @ Helipad","Eastbound Shealy DR @ Farside Archer RD"
"Shands Hospital @ Parking Garage 9","Northbound Gale Lemerand DR @ Nearside Archer RD"
"Shands Hospital @ Davis Cancer Pavilion","Northbound Gale Lemerand DR @ Farside Archer RD"
"Shands Hospital @ Davis Cancer Pavilion","Southbound Gale Lemerand DR @ Nearside Archer RD"
"Kohl's Department Store @ SW 34th ST","Southbound SW 34th ST @ Nearside SW 35th PL"
"HH Gregg @ SW 34th ST","Southbound SW 34th ST @ Farside SW 35th PL"
"Stoneridge Apartments","Southbound SW 34th ST @ Nearside SW 39th BLVD"
"Greenwich Green Apartments","Westbound SW 39th BLVD @ Nearside SW 34th ST"
"O2B Kids @ SW 37th BLVD","Northbound SW 39th BLVD @ Nearside Archer RD"
"Regions Bank @ Archer Road","Northbound SW 39th BLVD @ Nearside Archer RD"
"Best Buy @ Butler Plaza","Northbound SW 37th BLVD @ Nearside Windmeadows BL*"
"US 441 South","Southbound SW 13th ST @ Farside Williston RD"
"Budget Inn","Northbound SW 13th ST @ Nearside Williston RD"
"Meridian Behavioral Healthcare","Northbound SW 13th ST @ Nearside Williston RD"
"Residence Inn","Northbound SW 13th ST @ Farside Williston RD"
"The Landings Apartments","Northbound SW 13th ST @ Farside SW 36th PL"
"CDS Family and Behavioral Services","Northbound SW 13th ST @ Nearside SW 36th PL"
"Bivens Cove Apartments","Northbound SW 13th ST @ Nearside SW 36th PL"
"Tanglewood Apartments","Northbound SW 13th ST @ Nearside SW 14th DR"
"Boardwalk Apartments","Northbound SW 13th ST @ Farside SW 14th DR"
"Comfort Suites Hotel","Northbound SW 13th ST @ Farside SW 23rd PL"
"Village Square","Northbound SW 13th ST @ Farside SW 25th PL"
"home2 Hotel","Northbound SW 13th ST @ Nearside SW 21st AVE"
"CVS @ SW 13th ST","Northbound SW 13th ST @ Nearside SW 16th AVE"
"Oakbrook Walk Condominiums","Northbound SW 13th ST @ Nearside SW 14th AVE"
"SW 16th Avenue Building A","Eastbound SW 16th AVE @ Nearside SW  16th ST"
"Summit House Condominiums","Eastbound SW 16th AVE @ Farside SW 16th ST"
"Ronald McDonald House of Gainesville","Eastbound SW 16th AVE @ Nearside SW 14th ST"
"Liv+ Apartments 13th St","Southbound SW 13th ST @ Farside SW 18th PL"
"Dollar General","Southbound SW 13th ST @ Nearside SW18th PL"
"Lakeshore Towers Apartments","Southbound SW 13th ST @ Nearside SW 25th PL"
"City College Gainesville","Southbound SW 13th ST @ Nearside SW 25th PL"
"Wyndham Garden Hotel","Southbound SW 13th ST @ Nearside SW 14th DR"
"Chop Stix Cafe","Southbound SW 13th ST @ Farside SW 14th DR"
"The Landings Apartments","Southbound SW 13th ST @ Nearside SW 36th PL"
"Residence Inn","Southbound SW 13th ST @ Nearside Williston RD"
"Meridian Behavioral Healthcare","Southbound SW 13th ST @ Farside Williston RD"
"Bridge House","Southbound SW 13th ST @ Nearside SW 45th LN"
"Cottage Grove Apartments at Gainesville","Southbound SW 13th ST @ Farside SW Williston RD"
"Palms at Brook Valley Apartments","Eastbound NW 39th AVE @ Farside NW 12th ST"
"Eastbound NW 39th Avenue @ NW 10th Street","Eastbound NW 39th AVE @ Farside NW 10th ST"
"Stephen Foster Elementary School @ 39th Ave","Eastbound NW 39th AVE @ Nearside NW 7th ST"
"Gainesville Public Works","Eastbound NW 39th AVE @ Farside NW 6th ST"
"Bella Vista Village Eastbound","Eastbound NW 39th AVE @ Farside NW 1st TER"
"Pine Forest Homes","Eastbound NW 39th AVE @ Nearside NE 2nd ST"
"Wade Raulerson Honda Dealership","Eastbound NE 39th AVE @ Farside N Main ST"
"Highland Court Manor","Eastbound NE 39th AVE @ Nearside NE 12th ST"
"Eden Park Apartments","Eastbound NE 39th AVE @ Nearside NE 14th ST"
"Fearnside Family Services Center","Southbound NE 15th ST @ Farside NE 39th AVE"
"Village Green Apartments","Southbound NE 15th ST @ Farside NE 31st AVE"
"Southbound NE 15th Street @ NE 31 Avenue","Southbound NE 15th ST @ Nearside NE 31st AVE"
"NE 15th Street @ NE 26th Avenue","Southbound NE 15th ST @ Nearside NE 26th AVE"
"Smokey Bear Park","Southbound NE 15th ST @ Nearside NE 23rd AVE"
"NE 23rd Ave Farside NE 14th St Westbound","Westbound NE 23rd AVE @ Farside NE 14th ST"
"Highland Court Manor Neighborhood @ NE 23rd Avenue","Westbound NE 23rd AVE @ Nearside NE 11th TER"
"Westbound NE 23rd Avenue @ NE 9th Street","Westbound NE 23rd AVE @ Nearside NE 9th ST"
"Pointe 23 Apartments","Westbound NE 23rd AVE @ Farside NE 7th TER"
"David's BBQ","Southbound NE 2nd ST @ Farside NE 23rd AVE"
"Pine Grove Apartments","Southbound NE 2nd ST @ Farside NE 21st LN"
"Laundry Mart","Southbound NE 2nd ST @ Nearside NE 16th AVE"
"Publix @ N Main Street","Southbound N Main ST @ Farside NE 14th AVE"
"Gainesville Shopping Center South","Southbound N Main ST @ Nearside NE 10th AVE"
"Fire Stone @ N Main Street","Southbound N Main ST @ Nearside NE 7th AV"
"Friends of the Library Alachua County","Southbound N Main ST @ Farside NE 6th AVE"
"The Collier Companies","Southbound N Main ST @ Nearside NW 2nd AVE"
"Masonic Temple","Northbound N Main ST @ Farside NE 2nd AVE"
"Partnership for Strong Families","Northbound N Main ST @ Farside NE 6th AVE"
"Fire Stone @ N Main Street","Northbound N Main ST @ Nearside NE 8th AVE"
"CVS Pharmacy @ N Main Street","Northbound N Main ST @ Nearside NE 10th AVE"
"US Post Office @ Main St","Northbound N Main ST @ Nearside NE 14th AVE"
"Kangaroo @ N Main St","Northbound N Main ST @ Nearside NE 16th AVE"
"Laundry Mart","Northbound NE 2nd ST @ Farside NE 16th AVE"
"Pine Grove Apartments","Northbound NE 2nd ST @ Nearside NE 21st LN"
"McCoy Court Apartments","Northbound NE 2nd ST @ Nearside NE 23rd AVE"
"Pointe 23 Apartments","Eastbound NE 23rd AVE @ Nearside NE 7th ST"
"Chelsea Apartments Eastbound","Eastbound NE 23rd AVE @ Nearside NE 9th ST"
"NE 23rd Avenue @ NE 11th Terrace","Eastbound NE 23rd AVE @ Farside NE 11th TER"
"Boulware Charter School","Eastbound NE 23rd AVE @ Nearside NE 14th ST"
"Smokey Bear Park","Northbound NE 15th ST @ Farside NE 23rd AVE"
"NE 28th Avenue @ NE 15th Street","Northbound NE 15th ST @ Nearside NE 28th AVE"
"Northbound NE 15th Street @ NE 31st Avenue","Northbound NE 15th ST @ Farside NE 31st AVE"
"Village Green Apartments","Northbound NE 15th ST @ Farside NE 31st AVE"
"Fearnside Family Services Center Northbound","Northbound NE 15th ST @ Nearside NE 39th AVE"
"NE 39th Ave WB Farside NE 15th St","Westbound NE 39th AVE @ Farside NE 15th ST"
"Eden Park at Ironwood","Westbound NE 39th AVE @ Farside NE 14th ST"
"Highland Court","Westbound NE 39th AVE @ Nearside NE 11th TER"
"Westbound NE 39th Ave at Main St - Gsville Nissan","Westbound NE 39th AVE @ Nearside N Main ST"
"Southeast Car Agency","Westbound NE 39th AVE @ Nearside NE 2nd WAY"
"Bella Vista Village","Westbound NW 39th AVE @ Nearside NW 1st TER"
"Oasis Carwash","Westbound NW 39th AVE @ Nearside NW 6th ST"
"Stephen Foster Elementary School","Southbound NW 6th ST @ Farside NW 39th Ave"
"Southbound SW 6th Street @ NW 36th Avenue","Southbound NW 6th ST @ Nearside NW 35th AVE"
"Southbound NW 6th Street @ NW 32nd Place","Southbound NW 6th ST @ Nearside NW 32nd PL"
"Oak Gate Condominiums","Southbound NW 6th ST @ Nearside NW 29th AVE"
"IBEW Local 1205","Southbound NW 6th ST @ Farside NW 26th AVE"
"Sugar Hill","Northbound SE 20th PL @ Nearside SE 4th ST"
"Chevron Gas Station @ Williston Road","Southbound Williston RD @ Farside SE 4th ST"
"Southbound Williston Road @ SE 1st Terrace","Southbound Williston RD @ Nearside SE 1st TER"
"Springhill Baptist Church","Southbound Williston RD @ Nearside SE 1st ST"
"Sweetwater on 16th Apartments Westbound","Westbound SE 16th AVE @ Farside SE Williston RD"
"Treehouse Village Apartments","Westbound SE 16th AVE @ Nearside S Main ST"
"Winn Dixie @ SW 16th Avenue","Westbound SW 16th AVE @ Nearside SW 6th ST"
"Sun Bay Apartments","Westbound SW 16th AVE @ Farside SW 6th ST"
"Parklands Rehab & Nursing Center","Westbound SW 16th AVE @ Farside SW 10th TER"
"Oakbrook Walk Condominiums @ SW 16th Avenue","Westbound SW 16th AVE @ Nearside SW 13th ST"
"Sai Quick Stop","Eastbound SW 16th AVE @ Farside SW 13th ST"
"The Retreat Apartments","Eastbound SW 16th AVE @ Farside SW 10th TER"
"Sun Bay Apartments","Eastbound SW 16th AVE @ Nearside SW 6th ST"
"Arbor Park Apartments","Eastbound SW 16th AVE @ Farside SW 6th ST"
"Treehouse Village Apartments","Eastbound SE 16th AVE @ Farside S Main ST"
"Sweetwater on 16th Apartments","Eastbound SE 16th AVE @ Nearside Williston RD"
"Spring Hill Church","Northbound Williston RD @ Farside SE 1st ST"
"New RTS Maintenance Facility North","Northbound SE 1st St @ SE 13th AVE"
"New RTS Maintenance Facility South","Southbound SE 1st St @ SE 13th AVE"
"Oaks Mall @ NW 62nd Blvd","Southbound NW 62nd ST @ Nearside NW 4th PL"
"Oaks Mall SW 62nd Blvd","Southbound NW 62nd ST @ Farside NW 1st PL"
"Hampton Oaks Apartments","Southbound SW 62nd BLVD @ Farside NW 1st PL"
"Fairmont Oaks Apartments","Southbound SW 62nd BLVD @ Farside NW 4th PL"
"Lakewood Villas Apartments","Southbound SW 62nd BLVD @ Farside SW 52nd St"
"Rockwood Villas Apartments","Southbound SW 62nd BLVD @ Nearside SW 9th PL"
"The District Apartments","Southbound SW 62nd BLVD @ Nearside SW 20th AVE"
"Cabana Beach Apartments","Eastbound SW 20th AVE @ Farside SW 52nd ST"
"Liv Apartments","Eastbound SW 20th AVE @ Farside SW 42nd DR"
"Addison Lane","Eastbound SW 20th AVE @ Nearside SW 40th TER"
"Kensington Apartments South","Eastbound SW 20th AVE @ Nearside SW 38th TER"
"Southwest Villas Apartments","Eastbound SW 20th AVE @ Nearside SW 37th WAY"
"34th St Plaza","Eastbound SW 20th AVE @ Nearside SW 34th ST"
"Florida Department Of Agriculture","Northbound SW 34th ST @ Farside SW 20th AVE"
"Hilton University of Florida Conference Center","Northbound SW 34th ST @ Nearside Hull RD"
"Harn Museum","Eastbound Hull RD @ Farside Bledsoe DR"
"Southwest Recreation Center","Northbound Bledsoe DR @ Farside Hull RD"
"Maguire Field","Northbound Bledsoe DR @ Nearside Radio RD"
"UF Counseling and Wellness Center","Eastbound Radio RD @ Farside Bledsoe DR"
"Lakeside","Eastbound Radio RD @ Nearside Museum RD"
"Lakeside Residential Complex","Eastbound Radio RD @ Nearside Museum RD"
"Corry Village","Northbound Museum RD @ Nearside Village DR"
"Lake Alice Field","Eastbound Museum RD @ Farside Fraternity DR"
"Hume Hall","Eastbound Museum RD @ Nearside Gale Lemerand DR"
"Hume Hall","Westbound Museum RD @ Farside Gale Lemerand DR"
"Sigma Alpha Epsilon","Westbound Museum RD @ Nearside Woodlawn DR"
"Corry Village","Southbound Museum RD @ Farside Village DR"
"UF Bat Houses","Southbound Museum RD @ Nearside Radio RD"
"Lakeside Apartments","Westbound Radio RD @ Farside Museum RD"
"UF Counseling and Wellness Center","Westbound Radio RD @ Nearside Bledsoe DR"
"Family Housing","Southbound Bledsoe DR @ Farside Radio RD"
"Southwest Recreation Center","Southbound Bledsoe DR @ Nearside Hull RD"
"University Village South Apartments","Westbound Hull RD @ Nearside SW 34th ST"
"Hilton University of Florida Conference Center","Southbound SW 34th ST @ Nearside SW 19th AVE"
"Campus USA","Westbound SW 20th AVE @ Farside SW 34th ST"
"Pinnacle Point Apartments","Westbound SW 20th AVE @ Farside SW 38th ST"
"Kensington Apartments North","Westbound SW 20th AVE @ Farside SW 38th TER"
"Pinetree Gardens","Westbound SW 20th AVE @ Farside SW 40th TER"
"Circle K SW 20th Ave Westbound","Westbound SW 20th AVE @ Farside SW 42nd DR"
"Canopy Apartments","Westbound SW 20th AVE @ Farside SW 43rd ST"
"The Woodlands Apartments","Northbound SW 62nd BLVD @ Farside SW 20th AVE"
"Rockwood Villas Apartments","Northbound SW 62nd BLVD @ Farside SW 9th PL"
