"Lincoln Estate Neighborhood","Lincoln Estate Neighborhood"
"Lincoln Estates","Lincoln Estates"
"Save A LOT Food Store","Save A LOT Food Store"
"Phase III Supply","Phase III Supply"
"Alachua School Bus Parking Lot","Alachua School Bus Parking Lot"
"Veteran's Honor Center","Veteran's Honor Center"
"Fast Eddie's Restaurant","Fast Eddie's Restaurant"
"NE 15th St @ NE 3rd Ave Nearside","NE 15th St @ NE 3rd Ave Nearside"
"Cohens Temple","Cohens Temple"
"NE 15th St @ NE 8th Ave","NE 15th St @ NE 8th Ave"
"MLK Center","MLK Center"
"SE 24th Street - Dollar General Store","SE 24th Street - Dollar General Store"
"Health Department","Health Department"
"Northbound SE 24th Street @ E University Avenue","Northbound SE 24th Street @ E University Avenue"
"Harper's Pointe","Harper's Pointe"
"Westbound E University Avenue @ SE 21st Street","Westbound E University Avenue @ SE 21st Street"
"SE 18th St @ E University Avenue","SE 18th St @ E University Avenue"
"NE 18 ST @ NE 3 AVE","NE 18 ST @ NE 3 AVE"
"NE 18th St","NE 18th St"
"NE 18th St @ NE 8th Ave","NE 18th St @ NE 8th Ave"
"Bartley Temple United Methodist Church","Bartley Temple United Methodist Church"
"NE Walmart Supercenter","NE Walmart Supercenter"
"Rose Food Store","Rose Food Store"
"Michelle Garden Apartments","Michelle Garden Apartments"
"Auto Audio","Auto Audio"
"Department of Children and Families","Department of Children and Families"
"St. Patrick Catholic Church","St. Patrick Catholic Church"
"Sandwich Inn @ NE 16th Ave","Sandwich Inn @ NE 16th Ave"
"Midas @ N Main Street","Midas @ N Main Street"
"N Main Post Office","N Main Post Office"
"NW 2nd St @ NW 16th Ave Northbound","NW 2nd St @ NW 16th Ave Northbound"
"Northeast Park","Northeast Park"
"Department of Children and Families","Department of Children and Families"
"Auto Audio","Auto Audio"
"Michelle Garden Apartments","Michelle Garden Apartments"
"Fair View Apartments","Fair View Apartments"
"NE 18th St @ NE 8th Ave","NE 18th St @ NE 8th Ave"
"NE 18th St","NE 18th St"
"NE 18 ST @ NE 3 AVE","NE 18 ST @ NE 3 AVE"
"Alachua County School Board Administration Annex","Alachua County School Board Administration Annex"
"Eastbound University Avenue @ SE 21st Street","Eastbound University Avenue @ SE 21st Street"
"Eastbound University Avenue @ SE 24th Street","Eastbound University Avenue @ SE 24th Street"
"Health Department","Health Department"
"SE 24th Street at Hawthorne Road","SE 24th Street at Hawthorne Road"
"Oaks Mall SW 62nd Blvd","Oaks Mall SW 62nd Blvd"
"Panera Bread @ Newberry Road","Panera Bread @ Newberry Road"
"Durant Estate","Durant Estate"
"Eastbound W Newberry Rd @ NW 53rd Terrace","Eastbound W Newberry Rd @ NW 53rd Terrace"
"Millpond Apartments","Millpond Apartments"
"Gainesville Health & Fitness","Gainesville Health & Fitness"
"Alarion Bank","Alarion Bank"
"Urgent Care Center","Urgent Care Center"
"Life South Blood Center","Life South Blood Center"
"Florida Citizens Bank","Florida Citizens Bank"
"Regal Royal Park Stadium 16","Regal Royal Park Stadium 16"
"SW 2nd AVE and SW 36th TER - CIL","SW 2nd AVE and SW 36th TER - CIL"
"Hawaiian Village","Hawaiian Village"
"Westgate Plaza","Westgate Plaza"
"UF Golf Course","UF Golf Course"
"Eastbound SW 2nd Avenue @ SW 26th Street","Eastbound SW 2nd Avenue @ SW 26th Street"
"University of Florida Law School","University of Florida Law School"
"Pressly Stadium","Pressly Stadium"
"Ben Hill Griffin Stadium","Ben Hill Griffin Stadium"
"St. Augustine Catholic Church","St. Augustine Catholic Church"
"Keene Flint Hall","Keene Flint Hall"
"Anderson Hall","Anderson Hall"
"Leonardo's Pizza By The Slice","Leonardo's Pizza By The Slice"
"University of Florida Human Resources","University of Florida Human Resources"
"Innovation Square North","Innovation Square North"
"The Continuum","The Continuum"
"AT&T Building","AT&T Building"
"Alachua County Office of the State Attorney","Alachua County Office of the State Attorney"
"Bo Diddley Community Plaza","Bo Diddley Community Plaza"
"City Hall","City Hall"
"Alachua County Office of the State Attorney","Alachua County Office of the State Attorney"
"Seagle Building","Seagle Building"
"Santa Fe College Charles L. Blount Center","Santa Fe College Charles L. Blount Center"
"Leonardo's 706","Leonardo's 706"
"Westbound W University Ave @ NW 10th St","Westbound W University Ave @ NW 10th St"
"Holiday Inn @ W University Avenue","Holiday Inn @ W University Avenue"
"Target Copy @ W University Avenue","Target Copy @ W University Avenue"
"Smathers Library","Smathers Library"
"Swamp Restaurant","Swamp Restaurant"
"University Lutheran Church","University Lutheran Church"
"President's Park","President's Park"
"UF Law School","UF Law School"
"Campus Church of Christ","Campus Church of Christ"
"Westbound SW 2nd Avenue @ SW 30th Street","Westbound SW 2nd Avenue @ SW 30th Street"
"Westgate Plaza","Westgate Plaza"
"Renaissance Jewelers","Renaissance Jewelers"
"Fire Station","Fire Station"
"Plaza Royale","Plaza Royale"
"Tire Kingdom @ Newberry Road","Tire Kingdom @ Newberry Road"
"Allstate Insurance @ Newberry Road","Allstate Insurance @ Newberry Road"
"Millennium Center","Millennium Center"
"Orthopedic Institute","Orthopedic Institute"
"Gainesville Health & Fitness","Gainesville Health & Fitness"
"SunTrust Bank @ Newberry Road","SunTrust Bank @ Newberry Road"
"Capital City Bank @ Newberry Road","Capital City Bank @ Newberry Road"
"AT&T Store @ NW 4th Place","AT&T Store @ NW 4th Place"
"Gainesville Rock Gym","Gainesville Rock Gym"
"Alachua County Courthouse","Alachua County Courthouse"
"Planned Furnishings","Planned Furnishings"
"NW 6th St @ NW 3rd Ave","NW 6th St @ NW 3rd Ave"
"Santa Fe College Charles L. Blount Center","Santa Fe College Charles L. Blount Center"
"Williams Fellowship Hall","Williams Fellowship Hall"
"Gainesville Police Department","Gainesville Police Department"
"Big Ron's Yoga","Big Ron's Yoga"
"Bailey Village Assisted Living","Bailey Village Assisted Living"
"Medical Marihuana Treatment Center","Medical Marihuana Treatment Center"
"Sixth Street Plaza","Sixth Street Plaza"
"Hand & Hand Day Care","Hand & Hand Day Care"
"NW 6th St NW 23rd Ave","NW 6th St NW 23rd Ave"
"Rena's Ballroom","Rena's Ballroom"
"Wesley United Methodist Church","Wesley United Methodist Church"
"NW 23rd Avenue @ NW 12th St","NW 23rd Avenue @ NW 12th St"
"Big Lot on NW 13th Street","Big Lot on NW 13th Street"
"NW 13th Street","NW 13th Street"
"Mount Pleasant Cemetary","Mount Pleasant Cemetary"
"Johnson & Fletcher Insurance","Johnson & Fletcher Insurance"
"ALDI Food Market","ALDI Food Market"
"Auto Zone @ NW 13th Street","Auto Zone @ NW 13th Street"
"Sunshine Inn","Sunshine Inn"
"Westgate Mobile Manor Park","Westgate Mobile Manor Park"
"Social Security NB NW 13th St","Social Security NB NW 13th St"
"Great Lakes Carpet @ NW 53rd Avenue","Great Lakes Carpet @ NW 53rd Avenue"
"Sorrento New Home Community","Sorrento New Home Community"
"Northwood Oaks Neighborhood","Northwood Oaks Neighborhood"
"Northwood Pines Neighborhood","Northwood Pines Neighborhood"
"Pine Ridge Apartments","Pine Ridge Apartments"
"North Walmart Supercenter","North Walmart Supercenter"
"ABC Liquor Store @ NW 34th Street","ABC Liquor Store @ NW 34th Street"
"Kangaroo Gas @ NW 34th Street","Kangaroo Gas @ NW 34th Street"
"Northwood Pines Neighborhood","Northwood Pines Neighborhood"
"Northwood Oaks Neighborhood","Northwood Oaks Neighborhood"
"Eastbound NW 53rd Avenue @ NW 24th Boulevard","Eastbound NW 53rd Avenue @ NW 24th Boulevard"
"Sorrento New Home Community","Sorrento New Home Community"
"The Home Depot @ NW 53rd Avenue","The Home Depot @ NW 53rd Avenue"
"Social Security Administration","Social Security Administration"
"Early Learning Coalition","Early Learning Coalition"
"Sandy's Boutique","Sandy's Boutique"
"CVS @ NW 13th Street","CVS @ NW 13th Street"
"Publix @ NW 39th Avenue","Publix @ NW 39th Avenue"
"Tires Plus @ NW 13th Street","Tires Plus @ NW 13th Street"
"Grace Presbyterian Church","Grace Presbyterian Church"
"McDonald's @ NW 13th Street","McDonald's @ NW 13th Street"
"Verizon Shop","Verizon Shop"
"Eastbound NW 23rd Avenue @ NW 13th Street","Eastbound NW 23rd Avenue @ NW 13th Street"
"Hearing Aid Gainesville","Hearing Aid Gainesville"
"Forest Meadows Funeral Home","Forest Meadows Funeral Home"
"NW 6th St NW 23rd Ave","NW 6th St NW 23rd Ave"
"NW 6th ST at NW 19th LN (Hand N' Hand Childcare)","NW 6th ST at NW 19th LN (Hand N' Hand Childcare)"
"Acupuncture Center","Acupuncture Center"
"Atlantic Design","Atlantic Design"
"Granny D's","Granny D's"
"American Auto Insurance","American Auto Insurance"
"Jon Uman Attorney","Jon Uman Attorney"
"Greater Bethel African Methodist Episcopal Church","Greater Bethel African Methodist Episcopal Church"
"PPG Paints Store","PPG Paints Store"
"Alachua County Courthouse","Alachua County Courthouse"
"Tools for Schools","Tools for Schools"
"Williams Elementary School","Williams Elementary School"
"Eastbound SE 7th Avenue @ SE 15th Street","Eastbound SE 7th Avenue @ SE 15th Street"
"Northbound SE 15th Street @ SE 3rd Avenue","Northbound SE 15th Street @ SE 3rd Avenue"
"Eastbound University Avenue @ SE 15th Street","Eastbound University Avenue @ SE 15th Street"
"Health Department","Health Department"
"Southeast Gator Liquor @ Hawthorne Road","Southeast Gator Liquor @ Hawthorne Road"
"Eastbound Hawthorne Road @ SE 26th Street","Eastbound Hawthorne Road @ SE 26th Street"
"Alachua County Sheriff's Office","Alachua County Sheriff's Office"
"Southbound SE 27th Street @ SE 15th Avenue","Southbound SE 27th Street @ SE 15th Avenue"
"Durelle Heights Neighborhood","Durelle Heights Neighborhood"
"Lana's Place","Lana's Place"
"Faith Missionary Church","Faith Missionary Church"
"Eastbound SE 21st Avenue @ SE 32nd Terrace","Eastbound SE 21st Avenue @ SE 32nd Terrace"
"SE 35th St @ SE 21st Avenue","SE 35th St @ SE 21st Avenue"
"Northbound SE 35th Street @ SE 20th Avenue","Northbound SE 35th Street @ SE 20th Avenue"
"Northbound SE 35th Street @ SE 16th Avenue","Northbound SE 35th Street @ SE 16th Avenue"
"Kangaroo @ SE 35th Street","Kangaroo @ SE 35th Street"
"E Hawthorne Road @ SE 39th Terrace","E Hawthorne Road @ SE 39th Terrace"
"Chevron Food Mart @ SE 43rd Street","Chevron Food Mart @ SE 43rd Street"
"Eastside High School","Eastside High School"
"The Glades","The Glades"
"Eastwood Meadows","Eastwood Meadows"
"The Verdant Cove","The Verdant Cove"
"Chevron Food Mart @ SE 43rd Street","Chevron Food Mart @ SE 43rd Street"
"Westbound Hawthorne Road @ SE 39th Street","Westbound Hawthorne Road @ SE 39th Street"
"Eastside Food Store","Eastside Food Store"
"Southbound SE 35th Street @ SE 16th Avenue","Southbound SE 35th Street @ SE 16th Avenue"
"Southbound Se 35th Street @ SE 18th Avenue","Southbound Se 35th Street @ SE 18th Avenue"
"Southbound SE 35th Street @ SE 20th Avenue","Southbound SE 35th Street @ SE 20th Avenue"
"Westbound SE 21st Avenue @ SE 32nd Terrace","Westbound SE 21st Avenue @ SE 32nd Terrace"
"Faith Missionary Church","Faith Missionary Church"
"Lana's Place","Lana's Place"
"Durelle Heights Neighborhood","Durelle Heights Neighborhood"
"Northbound SE 27th Street @ SE 15th Avenue","Northbound SE 27th Street @ SE 15th Avenue"
"Alachua County Sheriffs Department","Alachua County Sheriffs Department"
"Alachua County Sheriffs Department","Alachua County Sheriffs Department"
"Dollar General","Dollar General"
"Westbound E University Avenue @ NE 16th Street","Westbound E University Avenue @ NE 16th Street"
"Southbound SE 15th Street @ SE 4th Avenue","Southbound SE 15th Street @ SE 4th Avenue"
"Southbound SE 15th Street @ SE 7th Avenue","Southbound SE 15th Street @ SE 7th Avenue"
"Williams Elementary School","Williams Elementary School"
"Waldo Rd @ SE 7th Avenue","Waldo Rd @ SE 7th Avenue"
"North Walmart Supercenter","North Walmart Supercenter"
"Northside Park and Senior Recreational Center","Northside Park and Senior Recreational Center"
"Barnhill Clinic","Barnhill Clinic"
"Pizza Hut @ NW 34th Street","Pizza Hut @ NW 34th Street"
"Capri Neighborhood","Capri Neighborhood"
"Southbound NW 34th Street @ NW 41st Avenue","Southbound NW 34th Street @ NW 41st Avenue"
"NW 39th Avenue @ NW 34th Street","NW 39th Avenue @ NW 34th Street"
"First Assembly Church","First Assembly Church"
"Walnut Creek Neighborhood","Walnut Creek Neighborhood"
"Uptown Village Apartments","Uptown Village Apartments"
"Palmetto Woods Neighborhood","Palmetto Woods Neighborhood"
"Girls Place of Alachua County","Girls Place of Alachua County"
"Eastbound NW 39th Ave at NW 19th St Green Tree Pk","Eastbound NW 39th Ave at NW 19th St Green Tree Pk"
"Ridgeview Baptist Church","Ridgeview Baptist Church"
"Altrusa House of Gainesville","Altrusa House of Gainesville"
"Southbound NW 21st Street @ NW 36th Avenue","Southbound NW 21st Street @ NW 36th Avenue"
"Glen Springs Apartments","Glen Springs Apartments"
