stop_id,stop_name,stop_desc,route_id
1454,Northeast Park,Eastbound NE 16th AVE @ Farside NE 2 ST,3
181,Millpond Apartments,Eastbound Newberry RD @ Farside NW 50th BLVD,5
206,AT&T Building,Eastbound W University AVE @ Nearside W 3rd ST,5
198,St. Augustine Catholic Church,Eastbound W University AVE @ Nearside Fletcher DR,5
201,Leonardo's Pizza By The Slice,Eastbound W University AVE @ Farside SW 13th ST,5
187,Florida Citizens Bank,Eastbound Newberry RD @ Nearside NW 39th RD,5
203,University of Florida Human Resources,Eastbound W University AVE @ Nearside W 8th ST,5
184,Alarion Bank,Eastbound Newberry RD @ Nearside NW 43rd ST,5
208,Bo Diddley Community Plaza,Eastbound E University AVE @ Nearside E 3st ST,5
185,Urgent Care Center,Eastbound Newberry RD @ Farside NW 43rd ST,5
186,Life South Blood Center,Eastbound Newberry RD @ Nearside NW 39th ST,5
204,Innovation Square North,Eastbound W University AVE @ Nearside SW 7th ST,5
190,Hawaiian Village,Eastbound SW 2nd AVE @ Nearside SW 34th ST,5
192,UF Golf Course,Eastbound SW 2nd AVE @ Farside SW 30th ST,5
197,Ben Hill Griffin Stadium,Eastbound W University AVE @ Farside Gale Lemeran*,5
205,The Continuum,Eastbound W University AVE @ Farside W 6th ST,5
176,Panera Bread @ Newberry Road,Eastbound Newberry RD @ Farside NW 62nd ST,5
1216,Arlington Square Apartments,Southbound SE 3rd ST @ Nearside SE 2nd PL,5
179,Eastbound W Newberry Rd @ NW 53rd Terrace,Eastbound Newberry RD @ Nearside NW 53rd TER,5
177,Durant Estate,Eastbound Newberry RD @ Farside NW 57th ST,5
188,Regal Royal Park Stadium 16,Eastbound Newberry RD @ Farside SW 38th ST,5
194,Eastbound SW 2nd Avenue @ SW 26th Street,Eastbound SW 2nd AVE @ Nearside SW 26th ST,5
195,University of Florida Law School,Eastbound SW 2nd AVE @ Farside SW 23rd ST,5
191,Westgate Plaza,Eastbound SW 2nd AVE @ Farside SW 34th ST,5
139,City Hall,Westbound E University AVE @ Nearside NE 1st ST,5
146,Holiday Inn @ W University Avenue,Westbound W University AVE @ Nearside SW 13th ST,5
149,Swamp Restaurant,Westbound W University AVE @ Nearside NW 17th ST,5
175,Oaks Mall SW 62nd Blvd,Northbound NW 62nd ST @ Nearside Newberry RD,5
150,University Lutheran Church,Westbound W University AVE @ Nearside NW 19th ST,5
144,Leonardo's 706,Westbound W University AVE @ Nearside NW 8th ST,5
161,Plaza Royale,Westbound Newberry RD @ Farside NW 36th DR,5
145,Westbound W University Ave @ NW 10th St,Westbound W University AVE @ Nearside NW 10th ST,5
143,Santa Fe College Charles L. Blount Center,Westbound W University AVE @ Nearside NW 6th ST,5
165,Orthopedic Institute,Westbound Newberry RD @ Farside NW 43rd ST,5
1474,Renaissance Jewelers,Westbound SW 2nd Ave @ Farrside SW 34th St,5
1206,Arlington Square Apartments,Northbound SE 3rd ST @ Nearside SE 2nd PL,5
162,Tire Kingdom @ Newberry Road,Westbound Newberry RD @ Farside NW 39th RD,5
166,Gainesville Health & Fitness,Westbound Newberry RD @ Nearside NW 48th BLVD,5
934,Campus Church of Christ,Westbound SW 2nd AVE @ Farside SW 26th ST,5
147,Target Copy @ W University Avenue,Westbound W University AVE @ Nearside SW 14th ST,5
164,Millennium Center,Westbound Newberry RD @ Nearside NW 43rd ST,5
1594,AT&T Store @ NW 4th Place,NW 4th Pl Nearside NW 62nd Street,5
140,Alachua County Office of the State Attorney,Westbound W University AVE @ Nearside NW 2nd ST,5
163,Allstate Insurance @ Newberry Road,Westbound Newberry RD @ Nearside NW 39th ST,5
148,Smathers Library,Westbound W University AVE @ Nearside NW 16th ST,5
168,Capital City Bank @ Newberry Road,Westbound Newberry RD @ Nearside N 8th AVE,5
