"stop_id","stop_name","stop_desc"
"443","Southbound SW 13th Street @ Museum Road","Southbound SW 13th ST @ Nearside Museum RD"
"444","University Housing Office","Southbound SW 13th ST @ Nearside Diamond RD"
"446","UF Health Archer Road","Westbound Archer RD @ Farside SW 16th ST"
"18","Shands Hospital @ Davis Cancer Pavilion","Westbound Archer RD @ Nearside Gale Lemerand DR"
"20","Mt Vernon Apartments","Westbound Archer RD @ Nearside SW 23rd DR"
"22","Country Village","Westbound Archer RD @ Farside SW 23rd TER"
"23","UF Surge Area Drive","Westbound Archer RD @ Nearside Surge Area DR"
"24","Tropic Carwash","Westbound Archer RD @ Farside Surge Area DR"
"25","Westbound Archer Road @ SW 34th Street","Westbound Archer RD @ Nearside SW 34th ST"
"26","Whole Foods @ Butler Town Center","Westbound Archer RD @ Farside SW 34th ST"
"27","Chili's Grill and Bar @ Butler Plaza","Westbound Archer RD @ Nearside SW 35th BLVD"
