"trip_id","stop_id"
"4753576","1493"
"4753576","1349"
"4753576","1548"
"4753576","1491"
"4753576","1306"
"4753576","1592"
"4753576","34"
"4753576","35"
"4753576","36"
"4753576","37"
"4753576","38"
"4753576","39"
"4753576","40"
"4753576","1199"
"4753576","118"
"4753576","360"
"4753576","361"
"4753576","362"
"4753576","1159"
"4753576","52"
"4753576","53"
"4753576","55"
"4753576","56"
"4753576","1290"
"4753576","57"
"4753576","1216"
"4753576","1"
"4753577","1493"
"4753577","1349"
"4753577","1548"
"4753577","1491"
"4753577","1306"
"4753577","1592"
"4753577","34"
"4753577","35"
"4753577","36"
"4753577","37"
"4753577","38"
"4753577","39"
"4753577","40"
"4753577","1199"
"4753577","118"
"4753577","360"
"4753577","361"
"4753577","362"
"4753577","1159"
"4753577","52"
"4753577","53"
"4753577","55"
"4753577","56"
"4753577","1290"
"4753577","57"
"4753577","1216"
"4753577","1"
"4753578","1493"
"4753578","1349"
"4753578","1548"
"4753578","1491"
"4753578","1306"
"4753578","1592"
"4753578","34"
"4753578","35"
"4753578","36"
"4753578","37"
"4753578","38"
"4753578","39"
"4753578","40"
"4753578","1199"
"4753578","118"
"4753578","360"
"4753578","361"
"4753578","362"
"4753578","1159"
"4753578","52"
"4753578","53"
"4753578","55"
"4753578","56"
"4753578","1290"
"4753578","57"
"4753578","1216"
"4753578","1"
"4753579","1493"
"4753579","1349"
"4753579","1548"
"4753579","1491"
"4753579","1306"
"4753579","1592"
"4753579","34"
"4753579","35"
"4753579","36"
"4753579","37"
"4753579","38"
"4753579","39"
"4753579","40"
"4753579","1199"
"4753579","118"
"4753579","360"
"4753579","361"
"4753579","362"
"4753579","1159"
"4753579","52"
"4753579","53"
"4753579","55"
"4753579","56"
"4753579","1290"
"4753579","57"
"4753579","1216"
"4753579","1"
"4753580","1493"
"4753580","1349"
"4753580","1548"
"4753580","1491"
"4753580","1306"
"4753580","1592"
"4753580","34"
"4753580","35"
"4753580","36"
"4753580","37"
"4753580","38"
"4753580","39"
"4753580","40"
"4753580","1199"
"4753580","118"
"4753580","360"
"4753580","361"
"4753580","362"
"4753580","1159"
"4753580","52"
"4753580","53"
"4753580","55"
"4753580","56"
"4753580","1290"
"4753580","57"
"4753580","1216"
"4753580","1"
"4753581","1493"
"4753581","1349"
"4753581","1548"
"4753581","1491"
"4753581","1306"
"4753581","1592"
"4753581","34"
"4753581","35"
"4753581","36"
"4753581","37"
"4753581","38"
"4753581","39"
"4753581","40"
"4753581","1199"
"4753581","118"
"4753581","360"
"4753581","361"
"4753581","362"
"4753581","1159"
"4753581","52"
"4753581","53"
"4753581","55"
"4753581","56"
"4753581","1290"
"4753581","57"
"4753581","1216"
"4753581","1"
"4753582","1493"
"4753582","1349"
"4753582","1548"
"4753582","1491"
"4753582","1306"
"4753582","1592"
"4753582","34"
"4753582","35"
"4753582","36"
"4753582","37"
"4753582","38"
"4753582","39"
"4753582","40"
"4753582","1199"
"4753582","118"
"4753582","360"
"4753582","361"
"4753582","362"
"4753582","1159"
"4753582","52"
"4753582","53"
"4753582","55"
"4753582","56"
"4753582","1290"
"4753582","57"
"4753582","1216"
"4753582","1"
"4753583","1493"
"4753583","1349"
"4753583","1548"
"4753583","1491"
"4753583","1306"
"4753583","1592"
"4753583","34"
"4753583","35"
"4753583","36"
"4753583","37"
"4753583","38"
"4753583","39"
"4753583","40"
"4753583","1199"
"4753583","118"
"4753583","360"
"4753583","361"
"4753583","362"
"4753583","1159"
"4753583","52"
"4753583","53"
"4753583","55"
"4753583","56"
"4753583","1290"
"4753583","57"
"4753583","1216"
"4753583","1"
"4753584","1493"
"4753584","1349"
"4753584","1548"
"4753584","1491"
"4753584","1306"
"4753584","1592"
"4753584","34"
"4753584","35"
"4753584","36"
"4753584","37"
"4753584","38"
"4753584","39"
"4753584","40"
"4753584","1199"
"4753584","118"
"4753584","360"
"4753584","361"
"4753584","362"
"4753584","1159"
"4753584","52"
"4753584","53"
"4753584","55"
"4753584","56"
"4753584","1290"
"4753584","57"
"4753584","1216"
"4753584","1"
"4753585","1493"
"4753585","1349"
"4753585","1548"
"4753585","1491"
"4753585","1306"
"4753585","1592"
"4753585","34"
"4753585","35"
"4753585","36"
"4753585","37"
"4753585","38"
"4753585","39"
"4753585","40"
"4753585","1199"
"4753585","118"
"4753585","360"
"4753585","361"
"4753585","362"
"4753585","1159"
"4753585","52"
"4753585","53"
"4753585","55"
"4753585","56"
"4753585","1290"
"4753585","57"
"4753585","1216"
"4753585","1"
"5001001","1493"
"5001001","1349"
"5001001","1548"
"5001001","1491"
"5001001","1306"
"5001001","1592"
"5001001","34"
"5001001","35"
"5001001","36"
"5001001","37"
"5001001","38"
"5001001","39"
"5001001","40"
"5001001","1199"
"5001001","118"
"5001001","360"
"5001001","361"
"5001001","362"
"5001001","1159"
"5001001","52"
"5001001","53"
"5001001","55"
"5001001","56"
"5001001","1290"
"5001001","57"
"5001001","1216"
"5001001","1"
"5001003","1493"
"5001003","1349"
"5001003","1548"
"5001003","1491"
"5001003","1306"
"5001003","1592"
"5001003","34"
"5001003","35"
"5001003","36"
"5001003","37"
"5001003","38"
"5001003","39"
"5001003","40"
"5001003","1199"
"5001003","118"
"5001003","360"
"5001003","361"
"5001003","362"
"5001003","1159"
"5001003","52"
"5001003","53"
"5001003","55"
"5001003","56"
"5001003","1290"
"5001003","57"
"5001003","1216"
"5001003","1"
"5001005","1493"
"5001005","1349"
"5001005","1548"
"5001005","1491"
"5001005","1306"
"5001005","1592"
"5001005","34"
"5001005","35"
"5001005","36"
"5001005","37"
"5001005","38"
"5001005","39"
"5001005","40"
"5001005","1199"
"5001005","118"
"5001005","360"
"5001005","361"
"5001005","362"
"5001005","1159"
"5001005","52"
"5001005","53"
"5001005","55"
"5001005","56"
"5001005","1290"
"5001005","57"
"5001005","1216"
"5001005","1"
"5001007","1493"
"5001007","1349"
"5001007","1548"
"5001007","1491"
"5001007","1306"
"5001007","1592"
"5001007","34"
"5001007","35"
"5001007","36"
"5001007","37"
"5001007","38"
"5001007","39"
"5001007","40"
"5001007","1199"
"5001007","118"
"5001007","360"
"5001007","361"
"5001007","362"
"5001007","1159"
"5001007","52"
"5001007","53"
"5001007","55"
"5001007","56"
"5001007","1290"
"5001007","57"
"5001007","1216"
"5001007","1"
"5001009","1493"
"5001009","1349"
"5001009","1548"
"5001009","1491"
"5001009","1306"
"5001009","1592"
"5001009","34"
"5001009","35"
"5001009","36"
"5001009","37"
"5001009","38"
"5001009","39"
"5001009","40"
"5001009","1199"
"5001009","118"
"5001009","360"
"5001009","361"
"5001009","362"
"5001009","1159"
"5001009","52"
"5001009","53"
"5001009","55"
"5001009","56"
"5001009","1290"
"5001009","57"
"5001009","1216"
"5001009","1"
"5001011","1493"
"5001011","1349"
"5001011","1548"
"5001011","1491"
"5001011","1306"
"5001011","1592"
"5001011","34"
"5001011","35"
"5001011","36"
"5001011","37"
"5001011","38"
"5001011","39"
"5001011","40"
"5001011","1199"
"5001011","118"
"5001011","360"
"5001011","361"
